CandID,site
943541,UMN
943541,UMN
943541,UMN
943541,UMN
943541,UMN
671741,UMN
671741,UMN
890685,UMN
410729,UMN
410729,UMN
410729,UMN
410729,UMN
616356,UMN
102211,UMN
914176,UMN
914176,UMN
914176,UMN
914176,UMN
975955,UMN
764612,UMN
764612,UMN
764612,UMN
764612,UMN
764612,UMN
290551,UMN
474330,UMN
474330,UMN
688831,UMN
295330,UMN
295330,UMN
977691,UMN
536876,UMN
536876,UMN
536876,UMN
536876,UMN
531154,UMN
747645,UMN
747645,UMN
630798,UMN
657158,UMN
657158,UMN
657158,UMN
657158,UMN
657158,UMN
657158,UMN
657158,UMN
514413,UMN
945323,UMN
945323,UMN
945323,UMN
945323,UMN
569511,UMN
569511,UMN
569511,UMN
569511,UMN
569511,UMN
318409,UMN
318409,UMN
318409,UMN
318409,UMN
206013,UMN
780046,UMN
780046,UMN
780046,UMN
414763,UMN
513010,UMN
513010,UMN
513010,UMN
513010,UMN
513010,UMN
513010,UMN
623825,UMN
301143,UMN
736609,UMN
736609,UMN
736609,UMN
736609,UMN
736609,UMN
842557,UMN
427732,UMN
427732,UMN
427732,UMN
427732,UMN
427732,UMN
407658,UMN
172668,UMN
251549,UMN
251549,UMN
251549,UMN
251549,UMN
251549,UMN
481261,UMN
640680,UMN
640680,UMN
640680,UMN
640680,UMN
640680,UMN
640680,UMN
897517,UMN
444345,UMN
298032,UMN
298032,UMN
784361,UMN
708340,UMN
209364,UMN
209364,UMN
476291,UMN
476291,UMN
484539,UMN
861367,UMN
861367,UMN
100619,UMN
100619,UMN
100619,UMN
100619,UMN
100619,UMN
680534,UMN
680534,UMN
680534,UMN
680534,UMN
714783,UMN
714783,UMN
714783,UMN
714783,UMN
714783,UMN
714783,UMN
759162,UMN
759162,UMN
759162,UMN
759162,UMN
759162,UMN
258610,UMN
351080,UMN
351080,UMN
892356,UMN
344456,UMN
999947,UMN
999947,UMN
999947,UMN
999947,UMN
999947,UMN
703946,UMN
402408,UMN
402408,UMN
402408,UMN
402408,UMN
402408,UMN
402408,UMN
402408,UMN
675345,UMN
826321,UMN
826321,UMN
880641,UMN
973707,UMN
973707,UMN
456442,UMN
456442,UMN
456442,UMN
456442,UMN
456442,UMN
456442,UMN
247621,UMN
247621,UMN
429579,UMN
624750,UMN
648669,UMN
648669,UMN
648669,UMN
648669,UMN
648669,UMN
648669,UMN
648669,UMN
313436,UMN
387450,UMN
387450,UMN
387450,UMN
264876,UMN
987136,UMN
857459,UMN
857459,UMN
857459,UMN
857459,UMN
857459,UMN
857459,UMN
857459,UMN
986926,BSB
649494,UMN
649494,UMN
274002,UMN
871514,UMN
871514,UMN
871514,UMN
793159,UMN
236452,UMN
236452,UMN
236452,UMN
236452,UMN
236452,UMN
236452,UMN
236452,UMN
133705,UMN
710741,UMN
710741,UMN
710741,UMN
710741,UMN
710741,UMN
710741,UMN
710741,UMN
882288,UMN
102606,UMN
102606,UMN
102606,UMN
102606,UMN
102606,UMN
434294,UMN
907729,UMN
907729,UMN
907729,UMN
907729,UMN
907729,UMN
907729,UMN
380056,UMN
380056,UMN
380056,UMN
380056,UMN
380056,UMN
380056,UMN
380056,UMN
380056,UMN
332709,UMN
613484,UMN
611881,UMN
611881,UMN
611881,UMN
611881,UMN
611881,UMN
611881,UMN
611881,UMN
611881,UMN
506394,UMN
506394,UMN
681382,UMN
108558,UMN
470437,UMN
470437,UMN
470437,UMN
470437,UMN
470437,UMN
470437,UMN
470437,UMN
267941,UMN
477275,UMN
477275,UMN
477275,UMN
477275,UMN
477275,UMN
477275,UMN
914777,UMN
934176,UMN
839327,UMN
839327,UMN
839327,UMN
839327,UMN
839327,UMN
839327,UMN
839327,UMN
839327,UMN
800807,UMN
800807,UMN
800807,UMN
800807,UMN
800807,UMN
800807,UMN
800807,UMN
800807,UMN
799959,UMN
799959,UMN
799959,UMN
799959,UMN
799959,UMN
799959,UMN
584395,UMN
779253,UMN
779253,UMN
779253,UMN
779253,UMN
779253,UMN
779253,UMN
779253,UMN
551055,UMN
551055,UMN
551055,UMN
551055,UMN
186133,UMN
186133,UMN
289524,UMN
936900,UMN
936900,UMN
936900,UMN
936900,UMN
936900,UMN
936900,UMN
936900,UMN
354046,UMN
354046,UMN
994816,UMN
994816,UMN
994816,UMN
994816,UMN
994816,UMN
994816,UMN
994816,UMN
994816,UMN
437532,UMN
437532,UMN
437532,UMN
437532,UMN
232633,UMN
232633,UMN
232633,UMN
232633,UMN
568614,UMN
568614,UMN
402461,UMN
402461,UMN
627341,UMN
775707,UMN
775707,UMN
775707,UMN
775707,UMN
775707,UMN
775707,UMN
775707,UMN
439584,UMN
439584,UMN
